transaction_id,product_id,product_name,category,quantity,price,total_sales,transaction_date,load_ds
49c5f530a8763fa64e2039c36c72d4e6,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,4.0,109.95,439.8,2020-01-01,2025-11-07
03dca7d1476be8aa9aa9356b0cbf373e,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,10.0,109.95,1099.5,2020-01-02,2025-11-07
0e9ba582dbd1ce622b7f3ad6ccd29c00,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,4.0,22.3,89.2,2020-01-02,2025-11-07
9bf8d170248cbd719658e70ac468a1e3,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,2.0,695.0,1390.0,2020-01-02,2025-11-07
cc07032dc9a252ac64c2dceb3552d785,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,2.0,109.95,219.9,2020-03-01,2025-11-07
338f42377afa6692b50d31327194d4d0,7,White Gold Plated Princess,jewelery,1.0,9.99,9.99,2020-03-01,2025-11-07
60ab5bc9006776bd43dd8dce7519392b,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,1.0,10.99,10.99,2020-03-01,2025-11-07
c2eadf794a4efb7e3247cb4f8b1cd7e7,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,1.0,64.0,64.0,2020-03-01,2025-11-07
338685ef82d331d490091f8d1795db55,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,2.0,109.0,218.0,2020-03-01,2025-11-07
7f42798507e8417feaea1759b4c36950,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,3.0,114.0,342.0,2020-03-01,2025-11-07
ecbaecd94dc2be1966d560b4556b53c4,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,1.0,9.85,9.85,2020-03-01,2025-11-07
7ab80ddb49e1e55ffa6a7db44bf5c231,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,4.0,109.95,439.8,2020-03-02,2025-11-07
b46edc8ff9c2342327a249e47a35d9a0,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1.0,22.3,22.3,2020-03-02,2025-11-07
c7a0c9968f9242b99dddef25312c853d,3,Mens Cotton Jacket,men's clothing,6.0,55.99,335.94,2020-03-02,2025-11-07
